"subjID","hr","fa","hrTarget","faLure","dprime","dprimeEX","VVIQ","VVIQ_group","hrdiff","fadiff","ddiff"
53,0.84375,0.145833333333333,0.84375,0,2.06446262101963,Inf,4.375,"high",0.0208333333333339,-0.041666666666667,0.208569084740019
54,0.708333333333333,0.104166666666667,0.708333333333333,0,1.80668384376119,Inf,3.5,"mid",0,0.041666666666667,-0.145552515157361
55,0.729166666666667,0.239583333333333,0.729166666666667,0.0104166666666667,1.31793811893921,2.92128594844375,4.75,"high",0,0.0625,-0.157310684610171
56,0.791666666666667,0.244791666666667,0.791666666666667,0.0208333333333333,1.50318948946243,2.8490519332013,3.5,"mid",0.166666666666667,0.104166666666666,0.339153523054047
57,0.333333333333333,0.0677083333333333,0.333333333333333,0.0208333333333333,1.06235109771744,1.60610683240593,3.3125,"mid",0.083333333333333,-0.020833333333333,0.337695099420809
58,0.75,0.166666666666667,0.75,0,1.64191131629778,Inf,4.125,"high",0.166666666666666,0.166666666666667,0.0726329108580837
59,0.135416666666667,0.0677083333333333,0.135416666666667,0.0104166666666667,0.391932888639043,1.20984582988356,4.3125,"high",-0.020833333333333,0,-0.0958769286059533
60,0.625,0.208333333333333,0.625,0.0416666666666667,1.13085716546429,2.05030376008662,4.25,"high",0.0416666666666661,-0.083333333333334,0.330247338419333
61,0.447916666666667,0.213541666666667,0.447916666666667,0.114583333333333,0.663265921007575,1.07158161398878,4.125,"high",-0.270833333333333,-0.083333333333334,-0.463005605373982
62,0.614583333333333,0.15625,0.614583333333333,0.0208333333333333,1.30127520225298,2.32811916470479,3.1875,"mid",0.020833333333333,0,0.0544923871384508
63,0.541666666666667,0.145833333333333,0.541666666666667,0,1.15910590738413,Inf,3.75,"mid",0.166666666666667,0.083333333333333,0.179510368677828
64,0.708333333333333,0.177083333333333,0.708333333333333,0.0104166666666667,1.47505988195313,2.85951362095552,1,"low",-0.166666666666667,-0.104166666666666,-0.209203131663366
